id,company,title,required_skills,preferred_skills,description,job_type,deadline
1,테크스타트업A,데이터 분석가,"Python, SQL, 통계","R, Tableau, 시각화","사용자 행동 데이터를 분석해 비즈니스 인사이트를 도출합니다. A/B 테스트 설계 및 결과 해석 업무를 담당합니다.",데이터 분석,2026-08-31
2,금융서비스B,데이터 엔지니어,"Python, Spark, SQL","Kafka, Airflow, AWS","대용량 금융 거래 데이터 파이프라인을 설계하고 운영합니다. ETL 프로세스 개발 및 데이터 품질 관리를 담당합니다.",데이터 엔지니어링,2026-09-15
3,AI솔루션C,머신러닝 엔지니어,"python, PyTorch, 딥러닝","TensorFlow, CUDA, MLOps","AI 모델 개발 및 서비스 배포를 담당합니다. 자연어 처리 및 컴퓨터 비전 프로젝트에 참여합니다.",AI/ML,2026-08-20
4,핀테크D,백엔드 개발자,,"Docker, Kubernetes, MSA","금융 서비스 REST API 서버를 개발합니다. 확장 가능한 백엔드 아키텍처를 설계하고 운영합니다.",백엔드 개발,2026-09-30
5,커머스E,데이터 분석가,"SQL, Python, 엑셀","Looker, 통계분석, A/B테스트","이커머스 판매 및 고객 행동 데이터를 분석해 마케팅 전략 수립을 지원합니다.",데이터 분석,2026-08-31
6,헬스케어F,AI 연구원,"Python, 머신러닝, 논문 작성","NLP, 컴퓨터 비전, PyTorch","의료 데이터 기반 AI 모델을 연구·개발합니다. 논문 작성 및 학회 발표 경험자를 우대합니다.",AI/ML,2026-09-01
7,컨설팅G,경영전략 컨설턴트,"Excel, PowerPoint, 데이터분석","MBA, SQL, Tableau","기업 전략 수립 및 운영 효율화 프로젝트를 수행합니다. 데이터 기반 의사결정을 지원합니다.",경영전략,2026-10-15
8,물류H,공급망 분석가,"sql, Python, 물류 도메인","ERP, SCM, R","물류 네트워크 최적화 및 수요 예측 모델을 개발합니다. 물류·유통 도메인 이해 필수입니다.",데이터 분석,2026-08-15
9,광고테크I,디지털 마케터,,"Google Analytics, Meta Ads, SEO","디지털 광고 성과를 분석하고 ROI 최적화 전략을 수립합니다. 데이터 기반 캠페인 운영 경험자 우대.",마케팅,2026-09-20
10,바이오J,생물정보학 연구원,"R, Python, 바이오인포매틱스","BLAST, NGS, 리눅스","유전체 데이터 분석 파이프라인을 개발합니다. 생물정보학 관련 석사 이상 우대합니다.",연구개발,2026-08-31
11,스타트업K,프론트엔드 개발자,"JavaScript, React, HTML/CSS","TypeScript, Next.js, Figma","사용자 경험 중심의 프론트엔드 서비스를 개발합니다. 디자인 협업 경험 우대.",프론트엔드 개발,26.09.10
12,금융L,리스크 분석가,"PYTHON, 통계, 금융공학","VBA, Bloomberg, SQL","금융 리스크 모델을 개발하고 규제 보고서를 작성합니다. CFA 또는 FRM 자격증 우대.",금융분석,
13,공기업M,데이터 사이언티스트,"Python, sql, Machine Learning","딥러닝, 시각화, NLP","공공 서비스 개선을 위한 데이터 분석 및 AI 모델을 개발합니다. 공공 데이터 활용 경험 우대.",데이터 분석,2026-10-31
14,게임N,게임 데이터 분석가,"SQL, Python, 게임 도메인","R, 행동분석, A/B테스트","게임 유저 행동 데이터를 분석하고 게임 밸런싱 및 수익화 전략을 지원합니다.",데이터 분석,2026-09-30
15,AI솔루션C,머신러닝 엔지니어,"Python, PyTorch, 딥러닝","TensorFlow, CUDA, MLOps","AI 모델 개발 및 서비스 배포를 담당합니다. 자연어 처리 및 컴퓨터 비전 프로젝트에 참여합니다.",AI/ML,2026-08-20
16,캐럿컴퍼니,로컬 서비스 데이터 분석가,"Python, SQL, Tableau","A/B 테스트, GA4, BigQuery","지역 커뮤니티 피드 활성화 및 로컬 광고 성과 측정을 위한 유저 행동 데이터를 분석하고 핵심 대시보드를 구축합니다.",데이터 분석,2026-10-31
17,비바크리에이티브,핀테크 상품 데이터 분석가,"SQL, Python, R","통계학, 머신러닝, Spark","결제 및 금융 거래 데이터를 바탕으로 고객 세그먼트를 분류하고 마케팅 효율 극대화 및 사기 탐지(FDS) 지표 고도화를 담당합니다.",데이터 분석,2026-09-30
18,엔제이소프트,게임 로그 분석가,"Python, SQL, Pandas","Hive, Looker, 이탈 예측 모델","신작 게임 유저들의 플레이 로그 데이터를 정제 및 분석하여 이탈 방지 모델을 수립하고 인게임 경제 밸런싱 패치를 지원합니다.",데이터 분석,2026-08-31
19,메타네이퍼,Java 백엔드 개발자,"Java, Spring Boot, JPA, SQL","AWS, Docker, Linux, Git","글로벌 웹 서비스의 안정적인 백엔드 시스템을 구축합니다. 확장성 높은 데이터베이스 설계와 대용량 트래픽 처리를 담당합니다.",백엔드 개발,2026-11-30
20,카카올라,React 프론트엔드 개발자,"JavaScript, TypeScript, React","Node.js, Git, GitHub, Figma","사용자 친화적이고 직관적인 웹 인터페이스를 설계 및 개발합니다. 성능 최적화와 공통 컴포넌트 라이브러리 구축을 진행합니다.",프론트엔드 개발,2026-10-15
21,토스파이,풀스택 소프트웨어 엔지니어,"Python, React, DB","Node.js, Docker, AWS, OS","신규 금융 상품의 기획부터 프론트엔드 및 백엔드 개발, 인프라 배포까지 엔드투엔드로 주도하는 역할을 담당합니다.",풀스택 개발,2026-09-15
22,마이크로소프트웨어,C/C++ 시스템 소프트웨어 개발자,"C, C++, OS, linux","C#, Git, Multi-threading","리눅스 환경에서 저수준 시스템 라이브러리와 고성능 네트워크 엔진을 설계하고 최적화합니다. 운영체제 레벨의 자원 관리 업무를 담당합니다.",시스템 개발,2026-12-05
23,우아한메이트,Node.js/Typescript 백엔드 개발자,"nodejs, typescript, SQL, db","AWS, Docker, NestJS","실시간 주문 및 배달 매칭 플랫폼의 고가용성 서버를 개발하고 유지보수합니다. RESTful API 설계 및 DB 성능 최적화를 진행합니다.",백엔드 개발,2026-11-20
24,가든컬리,Next.js 웹 프론트엔드 엔지니어,"React, typescript, git","Next.js, TailwindCSS, AWS","이커머스 웹 프론트엔드 페이지의 SEO 최적화 및 SSR 환경을 구축합니다. 사용자 전환율 향상을 위한 UX 개선 작업에 참여합니다.",프론트엔드 개발,2026-10-30
25,업그레이드스페이스,LLM / RAG 솔루션 개발자,"Python, 머신러닝, 딥러닝, SQL","PyTorch, Docker, LangChain, VectorDB","자연어 처리 기반 LLM 모델 파인튜닝 및 RAG(검색 증강 생성) 시스템 아키텍처를 구축합니다. 프롬프트 엔지니어링 및 모델 서빙을 담당합니다.",AI/ML,2026-09-25
26,놀러가자,크로스플랫폼 모바일 앱 개발자,"typescript, React Native, git","Flutter, iOS, Android, CI/CD","여행 및 레저 예약 앱의 크로스플랫폼 클라이언트를 개발하고 신규 기능을 릴리즈합니다. 앱 성능 분석 및 크래시 대응을 담당합니다.",모바일 개발,2026-08-25